group_id,question,question_summary,group_count,sample_url
240,adding a 3rd VM to  Load balancer backend pool,How do I adding a 3rd VM to  Load balancer backend pool?,5,https://learn.microsoft.com/en-us/answers/questions/1182236/cant-add-vmss-to-azure-load-balancer-backend-pool
51,Basic Load Balancer Migration,What is Basic Load Balancer Migration?,4,https://learn.microsoft.com/en-us/answers/questions/5521077/azure-basic-load-balancer-retirement
21,Load Balancing,What is Load Balancing?,3,https://learn.microsoft.com/en-us/answers/questions/5626660/choosing-load-balancer
38,Upgrade classic Load balancer to standard,What is Upgrade classic Load balancer to standard?,3,https://learn.microsoft.com/en-us/answers/questions/5559926/upgrade-load-balancer-basic-to-standard-sku
52,Azure Gateway Load Balancer,What is Azure Gateway Load Balancer?,3,https://learn.microsoft.com/en-us/answers/questions/5495956/application-gateway-load-balancer
14,I Can't create Azure Load Balancer,What is I Can't create Azure Load Balancer?,2,https://learn.microsoft.com/en-us/answers/questions/5760876/i-cant-create-azure-load-balancer
16,Retirement Announcement - Basic Load Balancer will be retired on 30 September 2025,How do I retirement Announcement - Basic Load Balancer will be retired on 30 September 2025?,2,https://learn.microsoft.com/en-us/answers/questions/1033471/retirement-announcement-basic-load-balancer-will-b
35,Upgrade to Standard SKU public IP address,What is Upgrade to Standard SKU public IP address?,2,https://learn.microsoft.com/en-us/answers/questions/5566712/upgrade-to-standard-sku-public-ip-address
44,ERR_CONNECTION_TIMED_OUT after upgrade from a basic public to standard public load balancer,How do I eRR_CONNECTION_TIMED_OUT after upgrade from a basic public to standard public load balancer?,2,https://learn.microsoft.com/en-us/answers/questions/5537727/err-connection-timed-out-after-upgrade-from-a-basi
77,about Azure load balancer redundancy.,How do I about Azure load balancer redundancy?,2,https://learn.microsoft.com/en-us/answers/questions/2225506/metrics-about-azure-load-balancer-standard
85,Azure Container App without Load Balancer,What is Azure Container App without Load Balancer?,2,https://learn.microsoft.com/en-us/answers/questions/2156108/azure-container-app-load-balancer-tcp-rst-messages
98,IP Floating,What is IP Floating?,2,https://learn.microsoft.com/en-us/answers/questions/2148225/ip-floating
123,Internal Load balancer DNS resolution,What is Internal Load balancer DNS resolution?,2,https://learn.microsoft.com/en-us/answers/questions/806639/internal-load-balancer-dns-resolution
172,Queries on azure load balancer,What is Queries on azure load balancer?,2,https://learn.microsoft.com/en-us/answers/questions/1659520/query-related-to-azure-load-balancer
181,Can we chain internal loadbalancers?,Can we chain internal loadbalancers?,2,https://learn.microsoft.com/en-us/answers/questions/1623516/can-we-chain-internal-loadbalancers
189,Load balancer traffic redirection,What is Load balancer traffic redirection?,2,https://learn.microsoft.com/en-us/answers/questions/1536309/azure-load-balancer-traffic-distribution
224,Cross Region Load Balancer,What is Cross Region Load Balancer?,2,https://learn.microsoft.com/en-us/answers/questions/1432254/cross-region-load-balancer
236,Azure Private load balancer to Https web sites,How do I azure Private load balancer to Https web sites?,2,https://learn.microsoft.com/en-us/answers/questions/1393219/azure-private-load-balancer-to-https-web-sites
257,How does the Load Balancer work with IPv6?,How does the Load Balancer work with IPv6?,2,https://learn.microsoft.com/en-us/answers/questions/1343954/how-the-load-balancer-works-in-two-diffrenrnt-vnet
272,Unable to add new VM to LoadBalancer,How do I resolve: Unable to add new VM to LoadBalancer?,2,https://learn.microsoft.com/en-us/answers/questions/1296788/unable-to-add-new-vm-to-loadbalancer
401,Load Balancing On Premises VMs into Azure,What is Load Balancing On Premises VMs into Azure?,2,https://learn.microsoft.com/en-us/answers/questions/697929/load-balancing-on-premises-vms-into-azure
406,Load balancers health probe,What is Load balancers health probe?,2,https://learn.microsoft.com/en-us/answers/questions/715203/load-balancers-health-probe
407,Load balancers on Availability set,What is Load balancers on Availability set?,2,https://learn.microsoft.com/en-us/answers/questions/709104/load-balancers-on-availability-set
468,deployment failure while adding VM instance to backend pools,How do I resolve: deployment failure while adding VM instance to backend pools?,2,https://learn.microsoft.com/en-us/answers/questions/345464/deployment-failure-while-adding-vm-instance-to-bac
494,AKS service with load balancer type is generating the IP but not able to access the service,How do I aKS service with load balancer type is generating the IP but not able to access the service?,2,https://learn.microsoft.com/en-us/answers/questions/228397/aks-service-with-load-balancer-type-is-generating
1,Ingress hostname to use different domain than the .westeurope.cloudapp.azure.com,How do I ingress hostname to use different domain than the .westeurope.cloudapp.azure.com?,1,https://learn.microsoft.com/en-us/answers/questions/5875656/ingress-hostname-to-use-different-domain-than-the
2,No more internet access on virtual machines.,How do I no more internet access on virtual machines?,1,https://learn.microsoft.com/en-us/answers/questions/5871367/no-more-internet-access-on-virtual-machines
3,Cannot create VipAvailability metric over my AKS load balancer,How do I resolve: Cannot create VipAvailability metric over my AKS load balancer?,1,https://learn.microsoft.com/en-us/answers/questions/5872003/cannot-create-vipavailability-metric-over-my-aks-l
4,Load Balancer Degraded for 3 days,What is Load Balancer Degraded for 3 days?,1,https://learn.microsoft.com/en-us/answers/questions/5864882/load-balancer-degraded-for-3-days
5,Can I use Azure GWLB solution with NVA for the Internet Outbound Traffic?,Can I use Azure GWLB solution with NVA for the Internet Outbound Traffic?,1,https://learn.microsoft.com/en-us/answers/questions/2154714/can-i-use-azure-gwlb-solution-with-nva-for-the-int
6,load balancer of a unknow subscription using our vnet - cant delete,How do I load balancer of a unknow subscription using our vnet - cant delete?,1,https://learn.microsoft.com/en-us/answers/questions/5835313/load-balancer-of-a-unknow-subscription-using-our-v
7,Issue with Load Balancer of Front door being deleted and recover,How do I resolve: Issue with Load Balancer of Front door being deleted and recover?,1,https://learn.microsoft.com/en-us/answers/questions/5829903/issue-with-load-balancer-of-front-door-being-delet
8,Can't access a newly created load balancer in my vnet to delete it,How do I can't access a newly created load balancer in my vnet to delete it?,1,https://learn.microsoft.com/en-us/answers/questions/5818962/cant-access-a-newly-created-load-balancer-in-my-vn
9,Cannot delete PublicIP because it is associated to vpngwLoadBalancer managed by Azure,How do I resolve: Cannot delete PublicIP because it is associated to vpngwLoadBalancer managed by Azure?,1,https://learn.microsoft.com/en-us/answers/questions/5784761/cannot-delete-publicip-because-it-is-associated-to
