Question,Score,Type,Gap_Type,Target_Article_Title,Target_Article_URL,Target_Article_Path,Recommendation
How do I resolve: Azure Data Factory - Pipeline always fails at the second connection to On-Premise data source?,1.0,Troubleshooting,new-article,Connector Troubleshoot Guide,https://learn.microsoft.com/azure/data-factory/connector-troubleshoot-guide,/azure/data-factory/connector-troubleshoot-guide,Create a new article covering: Azure Data Factory - Pipeline always fails at the second connection to On-Premis
How do I resolve: Always On VPN - Issues authenticating to on-prem resources from AAD Join machines?,1.0,Troubleshooting,new-article,Vpn Gateway Howto Always On User Tunnel,https://learn.microsoft.com/azure/vpn-gateway/vpn-gateway-howto-always-on-user-tunnel,/azure/vpn-gateway/vpn-gateway-howto-always-on-user-tunnel,Create a new article covering: Always On VPN - Issues authenticating to on-prem resources from AAD Join machine
How do I resolve: Issue with connectivity for Azure SQL VM?,1.0,Troubleshooting,new-article,Ways To Connect To Sql,https://learn.microsoft.com/azure/azure-sql/virtual-machines/windows/ways-to-connect-to-sql,/azure/azure-sql/virtual-machines/windows/ways-to-connect-to-sql,Create a new article covering: Issue with connectivity for Azure SQL VM?
How do I disable Cipher Suite in Server 2022 but still active?,1.0,Procedural,new-article,Tls Registry Settings,https://learn.microsoft.com/windows-server/security/tls/tls-registry-settings,/windows-server/security/tls/tls-registry-settings,Create a new article covering: disable Cipher Suite in Server 2022 but still active?
How do I resolve: Issue Creating Private Endpoint with Azure Application Gateway's Private Link Enabled?,2.0,Troubleshooting,new-article,Private Link,https://learn.microsoft.com/azure/application-gateway/private-link,/azure/application-gateway/private-link,Create a new article covering: Issue Creating Private Endpoint with Azure Application Gateway's Private Link En
How do I resolve: Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Application Gateway?,2.0,Troubleshooting,new-article,Mutual Authentication Overview,https://learn.microsoft.com/azure/application-gateway/mutual-authentication-overview,/azure/application-gateway/mutual-authentication-overview,Create a new article covering: Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Applica
How do I resolve: Increase Application Gateway Load balancer gateway timeout?,2.0,Troubleshooting,new-article,Configuration Request Routing Rules,https://learn.microsoft.com/azure/application-gateway/configuration-request-routing-rules,/azure/application-gateway/configuration-request-routing-rules,Create a new article covering: Increase Application Gateway Load balancer gateway timeout?
How do I resolve: Change Public IP of Cloud Service Extended support from Dynamic to static Fails?,2.0,Troubleshooting,new-article,Overview,https://learn.microsoft.com/azure/cloud-services-extended-support/overview,/azure/cloud-services-extended-support/overview,Create a new article covering: Change Public IP of Cloud Service Extended support from Dynamic to static Fails?
How do I resolve: Deployment template validation failed: 'Circular dependency detected'?,2.0,Troubleshooting,new-article,Resource Dependency,https://learn.microsoft.com/azure/azure-resource-manager/templates/resource-dependency,/azure/azure-resource-manager/templates/resource-dependency,Create a new article covering: Deployment template validation failed: 'Circular dependency detected'?
How do I resolve: Create a BastionHost for a Public Load Balancer failed?,2.0,Troubleshooting,new-article,Bastion Overview,https://learn.microsoft.com/azure/bastion/bastion-overview,/azure/bastion/bastion-overview,Create a new article covering: Create a BastionHost for a Public Load Balancer failed?
What is Firewall recommended for Azure Static Web Apps?,2.0,Decision-making,new-article,Configuration,https://learn.microsoft.com/azure/static-web-apps/configuration,/azure/static-web-apps/configuration,Create a new article covering: Firewall recommended for Azure Static Web Apps?
Best practice in publishing Remote Desktop access or Terminal server to Internet via Azure ?,2.0,Decision-making,new-article,Network Best Practices,https://learn.microsoft.com/azure/security/fundamentals/network-best-practices,/azure/security/fundamentals/network-best-practices,Create a new article covering: Best practice in publishing Remote Desktop access or Terminal server to Internet
