group_id,question_title,url,answer_count,date_asked,group_representative,group_count,canonical_overlap,canonical_question_matched,similarity_score
1,Ingress hostname to use different domain than the .westeurope.cloudapp.azure.com,https://learn.microsoft.com/en-us/answers/questions/5875656/ingress-hostname-to-use-different-domain-than-the,0,,Ingress hostname to use different domain than the .westeurope.cloudapp.azure.com,1,,,0
2,No more internet access on virtual machines.,https://learn.microsoft.com/en-us/answers/questions/5871367/no-more-internet-access-on-virtual-machines,0,,No more internet access on virtual machines.,1,,,0
3,Cannot create VipAvailability metric over my AKS load balancer,https://learn.microsoft.com/en-us/answers/questions/5872003/cannot-create-vipavailability-metric-over-my-aks-l,0,,Cannot create VipAvailability metric over my AKS load balancer,1,,,0
4,Load Balancer Degraded for 3 days,https://learn.microsoft.com/en-us/answers/questions/5864882/load-balancer-degraded-for-3-days,0,,Load Balancer Degraded for 3 days,1,,,0
5,Can I use Azure GWLB solution with NVA for the Internet Outbound Traffic?,https://learn.microsoft.com/en-us/answers/questions/2154714/can-i-use-azure-gwlb-solution-with-nva-for-the-int,0,,Can I use Azure GWLB solution with NVA for the Internet Outbound Traffic?,1,,,0
6,load balancer of a unknow subscription using our vnet - cant delete,https://learn.microsoft.com/en-us/answers/questions/5835313/load-balancer-of-a-unknow-subscription-using-our-v,0,,load balancer of a unknow subscription using our vnet - cant delete,1,,,0
7,Issue with Load Balancer of Front door being deleted and recover,https://learn.microsoft.com/en-us/answers/questions/5829903/issue-with-load-balancer-of-front-door-being-delet,0,,Issue with Load Balancer of Front door being deleted and recover,1,,,0
8,Can't access a newly created load balancer in my vnet to delete it,https://learn.microsoft.com/en-us/answers/questions/5818962/cant-access-a-newly-created-load-balancer-in-my-vn,0,,Can't access a newly created load balancer in my vnet to delete it,1,,,0
9,Cannot delete PublicIP because it is associated to vpngwLoadBalancer managed by Azure,https://learn.microsoft.com/en-us/answers/questions/5784761/cannot-delete-publicip-because-it-is-associated-to,0,,Cannot delete PublicIP because it is associated to vpngwLoadBalancer managed by Azure,1,,,0
10,Standard Load Balancer throttling outbound response throughput to ~25 KB/s for external clients (East US 2),https://learn.microsoft.com/en-us/answers/questions/5764193/standard-load-balancer-throttling-outbound-respons,0,,Standard Load Balancer throttling outbound response throughput to ~25 KB/s for external clients (East US 2),1,,,0
11,How to delete a left over load balancer in Azure?,https://learn.microsoft.com/en-us/answers/questions/5749149/how-to-delete-a-left-over-load-balancer-in-azure,0,,How to delete a left over load balancer in Azure?,1,,,0
