id,anti_pattern,category,description,agent_instruction,bad_example,good_example,source_basis
1,Sycophantic opener,Tone,"Beginning a response with affirmations like 'Great question!' 'Certainly!' or 'Absolutely!' These phrases signal AI-generated text immediately and add zero informational value.","NEVER open with an affirmation of the user's question or request. Do not use: Great, Certainly, Absolutely, Of course, Sure, Happy to help, Excellent. Start with the answer or the first substantive sentence.","Certainly! Great question. I'd be happy to help you understand this concept.","Here's how that works.","Microsoft Writing Style Guide — Warm and relaxed voice; Mollick (One Useful Thing) — AI tell signals"
2,Throat-clearing intro,Structure,"Using the first sentence or paragraph to announce what you are about to say instead of saying it. Common forms: 'In this article, we will...' 'This guide covers...' 'Let's explore...'","Do NOT use the first sentence to preview the document. The first sentence must deliver content, not describe it. Delete any sentence that begins with 'In this [noun]' or 'This [noun] will'.","In this guide, we will explore the key concepts you need to understand about API authentication.","API authentication uses tokens or keys to verify that requests come from authorized callers.","Microsoft Writing Style Guide — Lead with the most important information"
3,Delve and AI-preferred words,Vocabulary,"Certain words appear at statistically anomalous rates in AI-generated text: delve, robust, comprehensive, harness, unlock, elevate, paradigm, transformative, synergy, leverage (verb), streamline, navigate (metaphorically), tapestry, multifaceted, nuanced, holistic.","Scan every output for this banned word list and replace each instance: delve → explore or examine; robust → strong or reliable; comprehensive → complete or thorough; harness → use; unlock → access or enable; leverage (verb) → use; paradigm → model or approach; transformative → significant or major; synergy → coordination; streamline → simplify; nuanced → specific or precise. If the replacement feels awkward, rewrite the sentence.","Let's delve into how to leverage this robust API to unlock transformative results.","Here's how to use this API effectively.","Simon Willison (simonwillison.net) — LLM word frequency analysis; write-like-michael SKILL.md NEVER list"
4,Excessive hedging phrases,Tone,"Filler phrases that signal uncertainty without providing useful qualification: 'It's worth noting that' 'It's important to mention' 'It should be noted' 'Keep in mind that' 'Bear in mind' 'It's crucial to understand'.","Delete these hedge phrases entirely. If the information is worth including, state it directly. If it truly requires a caveat, use a specific qualifier ('In Python 3.10 and earlier...') not a generic hedge opener. Do a find-and-replace pass for: 'it's worth noting' / 'it's important to' / 'it should be noted' / 'keep in mind' / 'bear in mind'.","It's worth noting that it's important to understand that this approach has some limitations.","This approach has one key limitation: it doesn't support concurrent connections.","Microsoft Writing Style Guide — Plain language principles; Mollick (Co-Intelligence) — AI tell signals"
5,Em-dash overuse,Punctuation,"AI systems overuse em dashes as a structural crutch — inserting them where a comma, period, semicolon, or sentence break would be cleaner. The em dash has a specific purpose (apposition, sharp interruption) and loses force when used decoratively.","Use em dashes only for sharp interruption or apposition where no other punctuation works. Default to: a period (separate sentences), a comma (subordinate clause), or a colon (introducing a list or explanation). Audit every em dash in the output and replace at least 80% with a stronger alternative. Do not use consecutive em dashes in the same paragraph.","This approach — which is commonly used — provides — in most cases — a reliable outcome.","This approach is commonly used and generally reliable.","Microsoft Writing Style Guide — Punctuation; write-like-michael SKILL.md — 'use semicolons over em dashes'"
6,Nominalization,Clarity,"Converting verbs into nouns, making sentences longer and weaker: 'make a decision' instead of 'decide'; 'provide assistance' instead of 'help'; 'conduct an investigation' instead of 'investigate'; 'give consideration' instead of 'consider'.","Before finalizing output, scan for these noun-heavy constructions and convert to verb form: make a decision → decide; provide assistance → help; conduct an investigation → investigate; give consideration → consider; perform an analysis → analyze; reach a conclusion → conclude; make an assumption → assume; take action → act.","The team will conduct an evaluation and provide a recommendation after they make a decision.","The team will evaluate the options and recommend one.","Microsoft Writing Style Guide — Use action verbs; plain language standards"
7,Passive voice avoidance of agency,Clarity,"Using passive voice to avoid naming who does something: 'Errors will be handled' 'The data is processed' 'Settings can be configured'. Passive voice is appropriate in some technical contexts but AI overuses it as a default stance.","For every passive construction, ask: who performs this action? If the actor is known and relevant, rewrite in active voice. Allowed exceptions: when the actor is truly unknown, when the object is the topic focus, or in procedural steps where 'you' is implied. Flag any paragraph containing more than two passive constructions.","Errors are logged automatically and exceptions are raised when invalid inputs are detected.","The system logs errors automatically and raises an exception when it detects invalid input.","Microsoft Writing Style Guide — Active voice preferred; Chip Huyen (AI Engineering) — production system clarity"
8,Utilize instead of use,Vocabulary,"'Utilize' almost never means anything different from 'use' in technical writing. It signals formality performance rather than precision. The one legitimate case: 'utilize' means to find a practical use for something not originally intended for that purpose.","Replace 'utilize' with 'use' in every instance unless you can defend that the meaning is specifically 'repurpose for an unintended function.' Do a find-and-replace before finalizing any document.","You can utilize this function to process the data before you utilize the output in the next step.","You can use this function to process the data before passing the output to the next step.","Microsoft Writing Style Guide — Word choice; plain language standards"
9,Listicle brain,Structure,"Converting content into bullet points reflexively, even when the ideas have natural flow, causation, or narrative logic. Bullet points fragment reasoning and remove the connective tissue that shows how ideas relate.","Before using bullets, ask: do these items have an inherent sequence or causal relationship? If yes, use prose with transitional logic. Reserve bullets for: genuinely parallel items with no inherent order, reference material meant for scanning, 4+ items that would create an unwieldy sentence. Never use a single-item bullet list. Never use bullets in an explanation where you would use 'because,' 'therefore,' or 'which means.'","There are several considerations:\n• Performance may be affected\n• You should test thoroughly\n• Results can vary","Performance may be affected, so test thoroughly — results vary by environment.","Microsoft Writing Style Guide — Lists guidance; Mollick on AI formatting patterns"
10,Formulaic transitions,Flow,"AI systems default to a fixed set of connecting phrases that signal machine-generated cadence: 'Furthermore,' 'Moreover,' 'Additionally,' 'In addition,' 'It is also important to,' 'Last but not least,' 'In conclusion,' 'To summarize,' 'To recap.'","Replace transitional filler with content-specific connectors that show the actual logical relationship: contrast → 'But' or 'However'; addition where sequence matters → 'Then' or 'Next'; addition where logic builds → 'This means' or 'As a result'; conclusion → just end — don't announce that you're ending. Ban: Furthermore, Moreover, Additionally (as a sentence opener), Last but not least, In conclusion, To summarize, To recap.","Furthermore, this method is more efficient. Additionally, it reduces errors. In conclusion, it is the recommended approach.","This method is more efficient and produces fewer errors. Use it as the default.","Microsoft Writing Style Guide — Transitions; plain language principles"
