Project Name ,Proposer,What problem does this address?,Service Area(s),ACC Initiative,Detailed description of the problem,Ranking,How will you measure impact,Baseline metrics,Status,Signals,In Scope,Dependencies,Risks,Timeline,Notes
TSG migration of remaining top 12 services,Kumud,Improved discoverability of Troubleshooting content,"DNS, Private Link, Firewall, DDoS Protection, Web Application Firewall, Load Balancer, Virtual WAN",Help customers solve problems,,1,Increase in content retrievability & page views,,,,,,,,
Optmizing content for Retrievability with copilots,Kumud,Increased retrievability of content for customer queries via Knowledge service,"App Gateway, Bastion, VPN Gateway",Maintain quality content,,2,,,,,,,,,
Address top 3 CSS issues for top 5 services (in collaboration with TAs/CSS),Kumud,"Reduce support instances, Help resolve support cases through docs",Top 5 services,Help customers solve problems,,3,,,,,,,,,
"Remediate duplicate or contradictory content in virtual-network, vpn-gateway, and load-balancer (Collab with Rayo's team & Akash}",Allen Sudbring,Ensuring that information in articles in our services are up to date and accurate and conveying correct information to customers,"Virtual Network, VPN Gateway, Load Balancer, Web Application Firewall, Front Door",Maintain quality content,"Content duplication and/or contradictory information results in maintenance and technical inaccuracy issues. Addressing this helps avoid content being source of conflicting or out-dated information. Remediate the high priority items from the reports: VIrtual Network 14, VPN-gateway 2, and load-balancer 3.",5,Duplicate content and contradictory information removed from services articles,"virtual-network - 3 con and 4 dupes, vpn-gateway - 2 con and 6 dupes, load-balancer - 3 con and 4 dupes",,,,,,,ACC Project
Fact check across service repositories for inconsistencies Collab with Rayo's & Akash's team },Michael Bender,"Information, such as depreciation dates, can become stale or incorrect. When updates occur, articles are missed. This ensures data across services is aligned","Application Gateway, Load Balancer, AVNM, Front Door, Web Application Firewall",Maintain quality content,Content duplication results in maintenance and technical inaccuracy issues. Addressing this helps avoid content being source of conflicting or out-dated information.,4,Primary: Defect‑Free Page Views. Quality: Fresh Page Views; reduction in >365‑day articles ,Freshness skew >365 days; UUF complaints citing outdated info ,,,,,,,ACC Project
Enhance AI skills in the team by sharing through brown bag (DUP),Michael Bender,"Sharing of AI ideas and tools helps all of us achieve more, and deliver better products to our customers.",N/A,Continuosly improve and innovate,"Sharing of AI ideas and tools helps all of us achieve more, and deliver better products to our customers.",6,"Primary (Anecdotal): Reuse of shared workflows, peer feedback. Secondary: Mentions of AI tools in PRs ",none,,,,,,,
"Introduction to Azure Networking Scenario Design & Deployment guides Guide - content breakdown, planning, and integration into doc set",Duong Au,"Customers new to Azure networking have no scenario-based guide to help them select and compose the right services for their business — existing docs are service-centric and procedural, not design-led. A network admin designing for SMB has different needs than one building for enterprise hybrid or multicloud, but all roads lead to the same unconnected service articles",All,Help customers make good decisions about technology,"Co-author the Azure Networking Plan and Design Guide with Michael Bender — a modular, capability-first reference guide of 18 articles (1 hub + 17 capability modules) targeting Azure networking beginners through intermediate architects. Organized by capability area (Foundational, Connectivity, Topology, Security, Operations), not service. PM team (India) review and sign-off required before publishing each phase. Duong owns 9 articles: C1 Hybrid, C2 Ingress, C3 Egress, T1 Flat, T2 Hub-spoke, S1 Firewall, S2 WAF, S3 DDoS, S4 DNS.",2.5,"Page views on new design articles, coverage of design-decision content gaps, positive feedback from architects and network admins; target: all 18 articles live on Learn by June 30, 2026",No dedicated design/planning guide articles currently published in azure-docs-pr for Azure Networking. No scenario-first entry point exists today. Existing docs are service-specific how-tos only.,"In progress — spec complete, collaboration proposal written, awaiting PM team confirmation","Customers navigate Azure Networking docs by service, not workload need; no ""how do I design a network for my workload?"" entry point; AAC and CAF cross-links point to this gap","18 articles: Hub (Michael), F1–F3 Foundational (Michael), C1–C6 Connectivity (Duong: C1–C3; Michael: C4–C6), T1–T4 Topology (Duong: T1–T2; Michael: T3–T4), S1–S4 Security (all Duong), O1–O2 Operations (all Michael)",PM team (India) review and sign-off per phase — Phase 0 confirmation due April 8; Michael Bender co-authorship confirmed,PM team confirmation still pending — Phase 1 starts April 10; delay in PM sign-off could block publish; 9 articles for Duong concentrated in May–June (peak load),"une 30, 2026 (all 18 articles live). Phase 0: Apr 10 · Phase 1: Apr 30 · Phase 2: May 23 · Phase 3: Jun 6 · Phase 4: Jun 25 · Phase 5: Jun 30","Collaboration proposal and article map/spec complete (April 3, 2026). PM team (India) confirmation due April 8. Source files at C:\GitHub\Azure Networking Design\v4-modular-reference."
All Sources | Identify gaps/issues through a variety of customer sources like Microsoft Q & A and MVP DL,Michael Bender,Getting customer-specific data can be difficult. ,"Application Gateway, Load Balancer, AVNM, Virtual Network",Maintain quality content,"Indentifying customer issues and gaps in content can be difficult with our current datasets. With the use of AI and copilot tools, we can branch out to other sources of data like Microsoft Q&A, distribution lists, and Teams channels to identify opportunities.",7,Primary: Count of externally sourced gaps identified and fixed. Supporting: Reduction in gap‑related negative verbatims; improved Defect‑Free PVs post‑fix ,No systematic gap inventory; ad‑hoc CSS/MVP/Q&A/CXP/Customer input ,,,,,,,ACC Project
Use AI to improve readability and content quality across application gateway and load balancer documents,Michael Bender,Large bodies of documentation that could use a review to improve quality,"Application Gateway, Load Balancer",Maintain quality content,"There are a total of 723 articles across both services. Of those, 269 have a bounce rate over 20%. This could mean poor quality or readability across those articles. Improving quality and readability across the entire doc set could reduce the bounc rates across the sets.",8,Primary: Bounce Rate ↓ on targeted articles. Supporting: Copy‑Try‑Scroll Rate ↑ ,269 articles with >20% bounce rate ,,,,,,,
Research Azure Network Zero-trust Assessment for opportunities with Networking category,Michael Bender,Ensure customers have the most current and recommended practices for zero trust  to secure Azure Network.,"Application Gateway, Load Balancer",Help customers make good decisions about technology,"Since most of our documentation was not written with Zero-trust and security first, many of our customers struggle to find security recommendations & practices with our services.The Zero-Trust assessments provide a great resource for customers on recommended best practices. This can help us find areas where content can be improved, assessments are promoted, and improved the visibility of secure network practices.",6.5,Primary: Organic Search Rate ↑ for security pages; CTR into guidance. ,Security info scattered across docs ,,,,,,,
